Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,0.999,9.4150951E+02,8.5856768E+01
False,CS-137,True,1.000,1.2033905E+01,1.8331419E+00
False,TL-208,True,0.883,2.6779929E+01,3.2260882E+00
False,PB-210,False,1.000,2.6302100E+02,2.2225828E+01
False,BI-212,False,1.000,8.7736656E+01,2.2490365E+01
False,PB-212,True,0.985,6.8317380E+01,3.3274386E+00
False,BI-214,True,1.000,1.7601572E+02,1.0593309E+01
False,PB-214,True,1.000,1.6274538E+02,3.8707809E+00
False,RA-226,False,0.952,5.1247228E+02,8.7411794E+01
False,TH-227,True,0.985,5.2186631E+00,2.8429991E+00
False,AC-228,True,0.848,8.2538219E+01,5.4840889E+00
False,PA-228,True,0.978,1.1914694E+01,2.7940423E+00
True,TH-228,False,0.985,,
False,TH-234,True,0.551,9.4944348E+02,2.6000100E+01
False,U-235,True,0.979,3.1707985E+01,3.9779927E+00
