Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,20.09,20.09,-14.5,9.658
True,False,False,K-40,1460.81,True,False,10.67,35.44,35.44,941.5,17.23
True,False,False,CS-137,32.19,False,False,3.66,46.01,2.151,27.91,22.3
False,False,False,CS-137,661.65,True,False,85.12,2.151,,12.03,1.033
True,False,False,TL-208,72.8,True,False,2.02,44.34,4.925,24.56,21.68
False,False,False,TL-208,74.97,True,False,3.41,47.57,,474.8,23.47
False,False,False,TL-208,84.9,True,False,1.51,55.94,,383.1,27.33
False,False,False,TL-208,277.36,False,False,6.31,14.17,,4.292,6.883
False,False,False,TL-208,510.77,True,False,22.6,13.56,,14.77,6.561
False,False,False,TL-208,583.19,True,False,84.5,4.925,,31.07,2.373
False,False,False,TL-208,763.13,False,False,1.81,121.3,,0.8508,58.22
False,False,False,TL-208,860.56,True,False,12.42,19.03,,30.99,9.126
False,False,False,TL-208,2614.53,True,False,99.16,8.406,,28.93,3.833
True,False,False,PB-210,46.53,True,False,4.25,28.43,28.43,263.0,13.97
True,False,False,BI-212,727.18,True,False,6.65,30.86,30.86,87.74,14.81
True,False,False,PB-212,74.81,True,False,10.5,13.17,2.117,154.2,6.479
False,False,False,PB-212,77.11,True,False,17.6,9.166,,152.8,4.516
False,False,False,PB-212,87.3,True,False,7.9,14.06,,113.7,6.881
False,False,False,PB-212,115.18,False,False,0.59,102.6,,-7.574,50.01
False,False,False,PB-212,238.63,True,False,43.6,2.117,,87.31,1.024
False,False,False,PB-212,300.09,True,False,3.34,49.58,,41.97,24.32
True,False,False,BI-214,609.31,True,False,46.3,15.76,11.16,176.3,7.759
False,False,False,BI-214,768.36,True,False,5.04,34.4,,82.64,16.36
False,False,False,BI-214,806.17,False,False,1.23,178.5,,104.7,85.61
False,False,False,BI-214,934.06,True,False,3.21,68.32,,86.34,32.56
False,False,False,BI-214,1120.29,True,False,15.1,83.78,,192.3,41.15
False,False,False,BI-214,1155.19,False,False,1.69,285.9,,200.2,137.0
False,False,False,BI-214,1238.11,True,False,5.94,58.04,,132.7,27.68
False,False,False,BI-214,1280.96,True,False,1.47,155.0,,153.6,72.7
False,False,False,BI-214,1377.67,True,False,4.11,39.6,,264.9,18.44
False,False,False,BI-214,1401.5,True,False,1.39,80.26,,39.93,36.34
False,False,False,BI-214,1407.98,True,False,2.48,54.87,,32.47,25.33
False,False,False,BI-214,1509.19,True,False,2.19,60.84,,38.49,28.21
False,False,False,BI-214,1661.28,True,False,1.15,98.95,,75.64,45.03
False,False,False,BI-214,1729.6,True,False,3.05,49.6,,474.3,23.05
False,False,False,BI-214,1764.49,True,False,15.8,11.16,,175.2,5.233
False,False,False,BI-214,1847.44,True,False,2.12,56.96,,402.1,25.36
False,False,False,BI-214,2118.54,True,False,1.21,131.6,,711.2,55.17
True,False,False,PB-214,74.81,True,False,6.33,21.53,3.287,255.8,10.63
False,False,False,PB-214,77.11,True,False,10.7,15.34,,251.3,7.592
False,False,False,PB-214,87.2,True,False,3.7,30.94,,242.7,15.26
False,False,False,PB-214,89.8,True,False,1.03,109.1,,409.3,53.78
False,False,False,PB-214,241.98,True,False,7.49,9.714,,207.7,4.7
False,False,False,PB-214,295.21,True,False,19.2,5.915,,174.3,2.891
False,False,False,PB-214,351.92,True,False,37.2,3.287,,173.9,1.604
False,False,False,PB-214,785.91,True,False,1.1,204.7,,368.5,98.39
True,False,False,RA-226,186.21,True,False,3.28,117.8,117.8,1034.0,58.5
True,False,False,TH-227,50.2,True,False,8.5,11.67,7.274,8.66,5.709
False,False,False,TH-227,79.77,False,False,2.1,48.65,,-726.7,23.94
False,False,False,TH-227,85.44,False,False,1.58,87.14,,-233.2,43.07
False,False,False,TH-227,88.48,False,False,2.82,49.76,,174.2,24.6
False,False,False,TH-227,94.0,True,False,1.4,49.73,,142.4,24.34
False,False,False,TH-227,210.65,False,False,1.13,90.13,,13.75,43.98
False,False,False,TH-227,236.0,True,False,11.2,7.274,,5.219,3.514
False,False,False,TH-227,256.25,True,False,6.8,12.44,,8.845,6.045
False,False,False,TH-227,286.15,False,False,1.58,52.25,,20.65,25.33
False,False,False,TH-227,299.9,True,False,2.0,86.42,,70.09,42.54
False,False,False,TH-227,304.44,False,False,1.05,87.28,,2.357,42.29
False,False,False,TH-227,329.82,True,False,2.75,34.27,,26.47,16.42
False,False,False,TH-227,334.4,False,False,1.0,132.3,,-276.4,64.06
True,False,False,AC-228,89.95,True,False,2.1,52.73,10.48,200.7,26.0
False,False,False,AC-228,93.35,True,False,3.5,58.02,,1161.0,28.79
False,False,False,AC-228,129.08,False,False,2.8,20.76,,11.21,10.15
False,False,False,AC-228,209.28,True,False,4.4,16.44,,39.9,7.949
False,False,False,AC-228,270.23,True,False,3.6,30.24,,69.58,14.78
False,False,False,AC-228,327.64,True,False,3.2,29.25,,47.69,14.03
False,False,False,AC-228,338.32,True,False,11.4,10.48,,83.9,5.047
False,False,False,AC-228,409.51,False,False,2.13,61.11,,-6.716,29.45
False,False,False,AC-228,463.0,True,False,4.4,46.68,,31.29,22.54
False,False,False,AC-228,794.7,True,False,4.6,38.46,,30.62,18.28
False,False,False,AC-228,911.6,True,False,27.7,12.14,,77.03,5.886
False,False,False,AC-228,964.6,True,False,5.2,39.29,,47.63,18.65
False,False,False,AC-228,969.11,True,False,16.6,13.2,,85.0,6.284
False,False,False,AC-228,1587.9,True,False,3.71,43.59,,40.16,20.43
True,False,False,PA-228,89.95,True,False,22.0,9.559,7.693,36.61,4.277
False,False,False,PA-228,93.35,True,False,35.0,11.2,,221.7,5.102
False,False,False,PA-228,95.0,True,False,4.4,30.36,,86.57,14.49
False,False,False,PA-228,105.0,True,False,16.3,7.693,,4.618,3.512
False,False,False,PA-228,129.22,False,False,2.97,37.9,,20.18,18.27
False,False,False,PA-228,209.28,True,False,1.74,114.0,,192.8,54.09
False,False,False,PA-228,240.0,False,False,1.02,656.2,,7099.0,316.4
False,False,False,PA-228,281.87,False,False,1.28,124.2,,-90.94,59.32
False,False,False,PA-228,310.0,False,False,1.85,89.3,,-18.35,41.98
False,False,False,PA-228,327.64,True,False,1.9,119.6,,153.4,56.62
False,False,False,PA-228,327.64,False,False,2.2,129.5,,135.1,57.15
False,False,False,PA-228,332.36,False,False,1.64,154.6,,-104.7,72.51
False,False,False,PA-228,338.32,True,False,5.3,74.07,,344.8,35.59
False,False,False,PA-228,341.1,False,False,1.61,187.2,,37.41,89.08
False,False,False,PA-228,409.51,False,False,6.25,40.02,,-4.373,19.17
True,False,False,PA-228,463.0,True,False,13.8,31.58,7.693,19.06,15.09
False,False,False,PA-228,755.18,False,False,1.31,284.7,,-34.6,133.8
False,False,False,PA-228,772.17,False,False,1.24,340.4,,43.36,160.9
False,False,False,PA-228,794.7,True,False,2.09,198.8,,128.7,94.17
False,False,False,PA-228,830.5,False,False,2.03,226.1,,93.9,107.3
False,False,False,PA-228,911.23,True,False,16.7,59.52,,244.1,28.82
False,False,False,PA-228,964.6,True,False,10.5,46.48,,45.06,21.13
False,False,False,PA-228,969.11,True,False,10.1,75.26,,266.9,32.56
False,False,False,PA-228,1588.0,True,False,2.53,150.8,,112.5,70.69
False,False,False,PA-228,1887.0,False,False,1.63,239.6,,-36.31,109.1
False,False,False,TH-228,74.81,True,False,10.5,17.36,6.946,154.2,8.567
False,False,False,TH-228,77.11,True,False,17.6,12.31,,152.8,6.08
False,False,False,TH-228,87.3,True,False,7.9,18.19,,113.7,8.933
False,False,False,TH-228,115.18,False,False,0.59,102.6,,-7.574,50.01
False,False,False,TH-228,238.63,True,False,43.6,6.946,,87.31,3.43
False,False,False,TH-228,300.09,True,False,3.34,71.46,,41.97,35.22
True,False,False,TH-230,67.67,True,False,0.38,285.7,285.7,194.5,138.1
False,False,False,PA-231,27.36,False,False,9.3,18.2,18.2,-0.2161,8.905
False,False,False,PA-231,283.67,False,False,1.6,50.56,,-48.19,24.5
False,False,False,PA-231,300.08,False,False,2.3,40.96,,-0.9716,19.9
False,False,False,PA-231,302.67,False,False,4.6,20.21,,-19.76,9.806
False,False,False,PA-231,330.07,False,False,1.3,107.7,,99.02,52.31
True,False,False,TH-234,63.29,True,False,4.5,34.44,34.44,765.9,15.15
False,False,False,TH-234,92.38,True,False,2.6,61.61,,1607.0,26.07
False,False,False,TH-234,92.8,False,False,2.6,108.0,,1488.0,45.92
True,False,False,U-235,89.96,True,False,1.5,76.88,5.419,281.0,37.93
False,False,False,U-235,93.35,True,False,2.5,83.17,,1625.0,41.28
False,False,False,U-235,105.0,True,False,1.0,75.42,,39.4,37.0
False,False,False,U-235,109.14,True,False,1.5,47.44,,23.84,23.26
False,False,False,U-235,143.76,True,False,10.5,5.419,,31.36,2.609
False,False,False,U-235,163.35,True,False,4.7,17.64,,44.32,8.452
False,False,False,U-235,185.71,True,False,54.0,9.217,,62.84,4.579
False,False,False,U-235,202.12,False,False,1.0,85.0,,-116.3,41.34
False,False,False,U-235,205.31,True,False,4.7,14.57,,52.56,6.893
False,False,False,AM-241,59.54,False,False,36.3,3.602,3.602,-2.435,1.677
